bikepath_id,name,year,longitude,latitude,path_id,step
0,Jewish War Veterans Drive,2009,-71.09387688591231,42.305228851555974,0-0,1
0,Jewish War Veterans Drive,2009,-71.0937560088587,42.30521581648258,0-0,2
0,Jewish War Veterans Drive,2009,-71.09341556789798,42.30514033950802,0-0,3
0,Jewish War Veterans Drive,2009,-71.09305413716015,42.30502820983362,0-0,4
0,Jewish War Veterans Drive,2009,-71.09272821758312,42.304904952045604,0-0,5
0,Jewish War Veterans Drive,2009,-71.09240958228906,42.30474007852435,0-0,6
0,Jewish War Veterans Drive,2009,-71.09199930833962,42.30447416047856,0-0,7
0,Jewish War Veterans Drive,2009,-71.0918296073921,42.30434132902901,0-0,8
0,Jewish War Veterans Drive,2009,-71.0916463286397,42.30413979404062,0-0,9
0,Jewish War Veterans Drive,2009,-71.09151254713603,42.303961511195496,0-0,10
0,Jewish War Veterans Drive,2009,-71.09113966756932,42.30339411989892,0-0,11
0,Jewish War Veterans Drive,2009,-71.0909711128785,42.303113301767574,0-0,12
0,Jewish War Veterans Drive,2009,-71.09086567347018,42.30295031066095,0-0,13
0,Jewish War Veterans Drive,2009,-71.0907104631956,42.30277532394108,0-0,14
0,Jewish War Veterans Drive,2009,-71.0903857378507,42.30249901449383,0-0,15
0,Jewish War Veterans Drive,2009,-71.09007430423598,42.30230715192956,0-0,16
0,Jewish War Veterans Drive,2009,-71.08974860012393,42.30215293941245,0-0,17
0,Jewish War Veterans Drive,2009,-71.08946523812293,42.302046142998435,0-0,18
0,Jewish War Veterans Drive,2009,-71.08921713406227,42.30196591734508,0-0,19
0,Jewish War Veterans Drive,2009,-71.08890835680063,42.301890203368664,0-0,20
1,Walnut Entrance,2006,-71.09654561791595,42.31098023980853,1-0,1
1,Walnut Entrance,2006,-71.09646041668292,42.31109517427578,1-0,2
1,Walnut Entrance,2006,-71.09637945786925,42.31121985039625,1-0,3
1,Walnut Entrance,2006,-71.09632764042934,42.311387140887405,1-0,4
2,Walnut Entrance,2006,-71.09632764042934,42.311387140887405,2-0,1
2,Walnut Entrance,2006,-71.09638001704538,42.311551087221645,2-0,2
2,Walnut Entrance,2006,-71.09642410543809,42.3117614912918,2-0,3
2,Walnut Entrance,2006,-71.09642283707531,42.311786922948855,2-0,4
2,Walnut Entrance,2006,-71.09641491190867,42.31194591830005,2-0,5
2,Walnut Entrance,2006,-71.09637885642782,42.3121520732743,2-0,6
2,Walnut Entrance,2006,-71.09632958024767,42.31233635857678,2-0,7
2,Walnut Entrance,2006,-71.09622429470885,42.312502600477345,2-0,8
3,American Legion Highway,2008,-71.10919831724252,42.28614185403713,3-0,1
3,American Legion Highway,2008,-71.10859239436418,42.28649774565867,3-0,2
3,American Legion Highway,2008,-71.10853056071561,42.28654029748987,3-0,3
3,American Legion Highway,2008,-71.10817856073236,42.28675404443916,3-0,4
3,American Legion Highway,2008,-71.10811332962042,42.28679377191425,3-0,5
3,American Legion Highway,2008,-71.10778927387291,42.28699185951667,3-0,6
3,American Legion Highway,2008,-71.10735229466182,42.28725257599786,3-0,7
3,American Legion Highway,2008,-71.10705493529511,42.287421495669186,3-0,8
3,American Legion Highway,2008,-71.10665160408966,42.287663194065175,3-0,9
4,Forest Hills Entrance Drive,2009,-71.10606660096266,42.30093668358513,4-0,1
4,Forest Hills Entrance Drive,2009,-71.10568141780095,42.30104846153436,4-0,2
4,Forest Hills Entrance Drive,2009,-71.10519311542345,42.30113400211087,4-0,3
4,Forest Hills Entrance Drive,2009,-71.10489243949313,42.30115659962311,4-0,4
4,Forest Hills Entrance Drive,2009,-71.10457524530426,42.30118307921304,4-0,5
